_id,title,company,location,salary,type,posted,status
"6a807d9c82693474ec75e49a","Senior Software Engineer JS/TS","IT Workshop, Manila City","Dagupan, Pangasinan, Ilocos Region, 2400, Philippines","Php 24K per month","Full-Time","itWorkshop051@gmail.com","ACCEPTED"
"6a719593af67a95bee17b435","Local Senior Engineer","IT Workshop, Manila City","Batangas, Calabarzon, Philippines","Php 45K per month","Full-Time","itWorkshop051@gmail.com","ACCEPTED"
"6a7172622d5e5c643c6fecb7","Senior Worker House Manager","IT Workshop, Manila City","Batangas, Calabarzon, Philippines","Php 45K per month","Full-Time","itWorkshop051@gmail.com","ACCEPTED"
"6a715e3e94672c0c4e81401f","Senior Worker","IT Workshop, Manila City","Batangas, Calabarzon, Philippines","Php 25K per month","Full-Time","it_manila024@gmail.com","ACCEPTED"
"6a48f74585ed7c988c3c3f11","House Architect","IT Workshop, Manila City","Skin Manila, Governor Pack Road, Purok 8, Session Road, District 10, Central Business District, Baguio, Cordillera Administrative Region, 2600, Philippines","Php 25K per month","Full-Time","it_manila024@gmail.com","DECLINED"
"6a48f4a814663d21858b12bd","House Manager","IT Workshop, Manila City","SM City Clark, Manuel A. Roxas Highway, Angeles, Central Luzon, 2009, Philippines","Php 25K per month","Full-Time","it_manila024@gmail.com","PENDING"
"6a4876eec9f752e86271858f","Construction Expert","IT Workshop, Manila City","Santa Mesa, NLEX-SLEX Connector Road, 508, Santa Mesa, Sixth District, Manila, Capital District, Metro Manila, 1016, Philippines","Php 35K per month","Full-Time","it_manila024@gmail.com","PENDING"
"6a3e57e4e9bd4267cbd8480c","Movie Theater Manager","IT Workshop, Trinoma Mall","SM North EDSA IMAX Theatre, North Avenue, SM North EDSA, Santo Cristo, Bago Bantay, 1st District, Quezon City, Eastern Manila District, Metro Manila, 1100, Philippines","Php 25K per month","Full-Time","itWorkshop043@gmail.com","PENDING"
"6a2ce1a1c75e9e4ce39018c9","Backend Engineer","IT Workshop, Trinoma Mall","Bonifacio Global City, Taguig","Php 45K - 70K per month","Full-Time","itWorkshop043@gmail.com","PENDING"
"6a2cd03e668405e6652b9715","Mid Level Software Developer","IT Workshop, Trinoma Mall","SM Trinoma","Php 45K per month","Full-Time","itWorkshop043@gmail.com","ACCEPTED"
"6a2cb27e2c286fe79d907023","Expert Level Systems Develope","IT Workshop, Trinoma Mall","Shangri-La Plaza, EDSA, Wack-Wack Greenhills, Mandaluyong, Eastern Manila District, Metro Manila, 1555, Philippines","Php 40K per month","Full-Time","itWorkshop043@gmail.com","PENDING"
"6a2be6a0806e6fd1deb688ae","Expert Level Developer Manila","IT Workshop, Trinoma Mall","Manila, Capital District, Metro Manila, Philippines","Php 45K per month","Full-Time","itWorkshop043@gmail.com","ACCEPTED"
"6a2a14b175321f74601b34a7","IT Developer","IT Workshop, Trinoma City","SM Aura, Carlos P. Garcia Avenue, Fort Bonifacio, Taguig District 2, Taguig, Southern Manila District, Metro Manila, 1634, Philippines","Php 35K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a2a10620ae454015d7868fb","Solid Intermediate Developer","IT Workshop, Trinoma City","SM City Clark, Clark-Mabalacat-Angeles Road, Lakandula, Angeles, Pampanga, Central Luzon, 2024, Philippines","Php 25K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a2a0fcf0ae454015d7868ae","Mid Level Software","IT Workshop, Trinoma City","TriNoma, Mindanao Avenue, Bagong Pag-asa, Diliman, 1st District, Quezon City, Eastern Manila District, Metro Manila, 1100, Philippines","Php 25K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a2a0e930ae454015d78683e","Mid Level Developer TriNoma City","IT Workshop, Trinoma City","Multiple Sites","Php 25K per month","Contract","it_workshop024@gmail.com","ACCEPTED"
"6a28b859f737e2700de765c7","Expert Developer","IT Workshop, Trinoma City","Trinoma City, Manila","Php 45K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a216a5db2b04f976db2519f","Expert Level Engineer","IT Workshop, Trinoma City","SM Trinoma, Manila","Php 45K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a216a11b2b04f976db25168","Expert Engineer","IT Workshop, Trinoma City","SM Trinoma, Manila","Php 45K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a2169c9b2b04f976db25162","Mid Level Engineer","IT Workshop, Trinoma City","SM Trinoma, Manila","Php 25K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a09c845d7a765f6b112f9f2","R Statisticianas","IT Workshop, Trinoma City","Trinoma","Php 25K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a09c83ad7a765f6b112f9ed","R Statisticiana","IT Workshop, Trinoma City","Trinoma","Php 25K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a09c7ddd7a765f6b112f9d1","R Statistician","IT Workshop, Trinoma City","Trinoma","Php 25K per month","Full-Time","it_workshop024@gmail.com","DECLINED"
"6a09c7c2d7a765f6b112f9b9","R Statistics","IT Workshop, Trinoma City","Trinoma","Php 25K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a09816add7867aff84a36e2","Java Developer","IT Workshop, Trinoma City","Industrial Zone","Php 28K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a09742963106befdeabd1e7","Python Developer","IT Workshop, Trinoma City","Downtown, Metro City","Php 25K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a02bfab2e8fc1821b565a5a","Mid-Level Back End Developer","IT Workshop, Trinoma City","Downtown, Metro City","Php 25K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
"6a016835797c3a5f3627e1f7","Expert Chef","Luxury Manila Resto 025","Multiple Sites","Php 45K per month","Full-Time","manileLux@gmail.com","ACCEPTED"
"6a0167ec797c3a5f3627e1f4","Entry Level Chef","Luxury Manila Resto 025","Various Locations","Php 25K per month","Full-Time","manileLux@gmail.com","ACCEPTED"
"6a016684797c3a5f3627e192","Head Chef","Luxury Manila Resto 025","Various Locations","Php 50K per month","Full-Time","manileLux@gmail.com","ACCEPTED"
"6a016613797c3a5f3627e18f","Steak Searer","Luxury Manila Resto 025","Various Locations","Php 45K per month","Temporary","manileLux@gmail.com","ACCEPTED"
"6a0165ae797c3a5f3627e18c","Senior Chef","Luxury Manila Resto 025","Industrial Zone","Php 35K per month","Full-Time","manileLux@gmail.com","ACCEPTED"
"6a016324797c3a5f3627e13c","UX Electrician","Electronic Construction","Various Locations","Php 15K per month","Temporary","constructor025@gmail.com","ACCEPTED"
"6a0162b2797c3a5f3627e138","Electrician","Electronic Construction","Downtown, Metro City","Php 24K per month","Temporary","constructor025@gmail.com","ACCEPTED"
"6a01621e797c3a5f3627e134","Construction Worker","Electronic Construction","Central Business District","Php 15K per month","Part-Time","constructor025@gmail.com","ACCEPTED"
"6a0160ac797c3a5f3627e0ca","Mid Level Developer","IT Workshop, SM City Baguio","Multiple Sites","Php 25K per month","Full-Time","it_workshop025@gmail.com","ACCEPTED"
"6a015fb5797c3a5f3627e0c7","Entry Level Software Engineer","IT Workshop, SM City Baguio","Downtown, Metro City","Php 15K per month","Full-Time","it_workshop025@gmail.com","ACCEPTED"
"69f3e5519b672f3785198feb","Senior Software Engineer","IT Workshop, Trinoma City","Downtown, Metro City","Php 25K per month","Full-Time","it_workshop024@gmail.com","ACCEPTED"
